2020-08-02 11:23:02,b'#AmitShah detected #Corona +ve https://t.co/YvrRmLJqVb'
2020-08-02 11:22:58,b'Get well soon Mota Bhai #AmitShah. I wish he defeat #corona and come back earliest to hit back those who are being\xe2\x80\xa6 https://t.co/NhuZ01YN2j'
2020-08-02 11:22:54,b'#AmitShah #corona # positive https://t.co/Tw3EjDXFVI'
2020-08-02 11:22:43,"b'Home Minister @Amit Shah #corona positive, he tweeted and request to quarantine, who came in his contact.'"
2020-08-02 11:22:38,"b'#amit_shah #corona report #position , he admitted in hospital advise by doctor .\n#corona_positive\n#amitshah\xe2\x80\xa6 https://t.co/wMozNq5137'"
2020-08-02 11:22:33,b'Home Minister @AmitShah  ji corona positive. \n Pray for Quick Recovery. \n#AmitShah #Corona'
2020-08-02 11:22:25,b'RT @dreams_garage: Who wants to win \xc2\xa3100 for FREE?? \n\nJust follow the steps here and the winner will be chosen at random next Monday evenin\xe2\x80\xa6'
2020-08-02 11:22:14,b'Home minister Amit shah tweets that he has been tested #Covid_19 positive.  #amitshah #COVID #positive #corona https://t.co/bqDZrnVN2o'
2020-08-02 11:22:11,b'RT @BlakePavey: Response to this video has been absolutely insane! Cannot thank everyone enough! 4.5 Million views on TikTok! #COVID19 #cov\xe2\x80\xa6'
2020-08-02 11:22:06,b'RT @BlakePavey: Response to this video has been absolutely insane! Cannot thank everyone enough! 4.5 Million views on TikTok! #COVID19 #cov\xe2\x80\xa6'
2020-08-02 11:21:50,b'Home Minister Amit Shah found Corona Positive in medical test. He is admitted in hospital on the advise of doctors.\xe2\x80\xa6 https://t.co/6HGUdocL3E'
2020-08-02 11:21:42,b'#CoronaInfoCH #COVID19 #corona #coronavirusvaccine \nCOVID-19: Coronavirus vaccine confronts humanity with next mora\xe2\x80\xa6 https://t.co/YLYv4lekIf'
2020-08-02 11:21:40,"b'#CoronaInfoCH #COVID19 #corona #coronavirusapp \nBreaking news and updates Australia: August 2, 2020,\xe2\x80\xa6 https://t.co/hYZTT1GPAK'"
2020-08-02 11:21:19,b'Proud to have these amazing courses. Totally suggest. Scott n Emma\xf0\x9f\x98\x8dIn my pocket now.Have you subscribed yet? #learn\xe2\x80\xa6 https://t.co/KkSI3FXxZw'
2020-08-02 11:21:17,"b""RT @sanghaviharsh: It's not easy, trust me.\n\nHats off to all the #corona warriors. https://t.co/x5cz29jQuF"""
2020-08-02 11:21:13,"b'RT @FarukFirat1987: #BREAKING: Huge protest now in #Berlin, #Germany. They demonstrante against #Corona and against the government and they\xe2\x80\xa6'"
2020-08-02 11:21:00,b'Home Minister @AmitShah tested #Corona positive.'
